date,sentiment_index,sentiment_lag_1,sentiment_lag_2,rolling_mean_3,sentiment_momentum
2026-02-19,0.0,0.0,0.0,0.0,0.0
2026-02-24,0.8184847831726074,0.0,0.0,0.0,0.8184847831726074
2026-03-05,0.0,0.8184847831726074,0.0,0.2728282610575358,-0.8184847831726074
2026-03-08,0.0,0.0,0.8184847831726074,0.2728282610575358,0.0
2026-03-09,-0.00883138676484426,0.0,0.0,-0.0029437955882814196,-0.00883138676484426
2026-03-10,-0.29183390736579895,-0.00883138676484426,0.0,-0.10022176471021439,-0.2830025206009547
2026-03-11,0.0,-0.29183390736579895,-0.00883138676484426,-0.10022176471021439,0.29183390736579895
2026-03-12,0.16972985863685608,0.0,-0.29183390736579895,-0.04070134957631429,0.16972985863685608
2026-03-13,-0.12591199874877929,0.16972985863685608,0.0,0.014605953296025598,-0.29564185738563536
2026-03-15,0.0,-0.12591199874877929,0.16972985863685608,0.014605953296025598,0.12591199874877929
2026-03-16,0.0,0.0,-0.12591199874877929,-0.04197066624959309,0.0
2026-03-17,0.007786526491767476,0.0,0.0,0.0025955088305891585,0.007786526491767476
